org,repo_name,full_name,id,login,user_name,contributions
APMG,amat-react,APMG/amat-react,49699333,dependabot[bot],,22
APMG,amat-react,APMG/amat-react,5025990,etherbob,Andrew Stevenson,3
APMG,amat-react,APMG/amat-react,1874117,ghankerson,Geoff Hankerson,61
APMG,amat-react,APMG/amat-react,187428415,hhassan-mpr,Hassan,1
APMG,amat-react,APMG/amat-react,3376722,kimthompson,Kim Freechack,1
APMG,amat-react,APMG/amat-react,1565141,mattaho,Matt Aho,2
APMG,amat-react,APMG/amat-react,15035630,nicepersonality,Lilith Bentley,8
APMG,amat-react,APMG/amat-react,19580456,pkooistra,Philip Kooistra,26
APMG,amat-react-native,APMG/amat-react-native,31079113,Phanx091,Jason,2
APMG,apache-authtkt-ruby,APMG/apache-authtkt-ruby,180144,abeger,Andy Beger,1
APMG,apache-authtkt-ruby,APMG/apache-authtkt-ruby,5025990,etherbob,Andrew Stevenson,1
APMG,apache-authtkt-ruby,APMG/apache-authtkt-ruby,19593993,jsteen-mpr,,1
APMG,apache-authtkt-ruby,APMG/apache-authtkt-ruby,99722,karpet,Peter Karman,8
APMG,apache-authtkt-ruby,APMG/apache-authtkt-ruby,1298231,will-in-wi,William Johnston,8
APMG,apm-enceladus,APMG/apm-enceladus,31079113,Phanx091,Jason,2
APMG,apm-enceladus,APMG/apm-enceladus,19578776,a-coder,Andrea,7
APMG,apm-enceladus,APMG/apm-enceladus,49699333,dependabot[bot],,9
APMG,apm-enceladus,APMG/apm-enceladus,1874117,ghankerson,Geoff Hankerson,4
APMG,apm-enceladus,APMG/apm-enceladus,187428415,hhassan-mpr,Hassan,3
APMG,apm-enceladus,APMG/apm-enceladus,19580456,pkooistra,Philip Kooistra,4
APMG,apm-enceladus,APMG/apm-enceladus,33332959,talia-storymaker,Talia Hatfield,3
APMG,apm-fedsearch,APMG/apm-fedsearch,99722,karpet,Peter Karman,9
APMG,apm-html5-player,APMG/apm-html5-player,49699333,dependabot[bot],,10
APMG,apm-html5-player,APMG/apm-html5-player,1874117,ghankerson,Geoff Hankerson,32
APMG,apm-html5-player,APMG/apm-html5-player,19580456,pkooistra,Philip Kooistra,1
APMG,apm-mimas,APMG/apm-mimas,31079113,Phanx091,Jason,6
APMG,apm-mimas,APMG/apm-mimas,49699333,dependabot[bot],,12
APMG,apm-mimas,APMG/apm-mimas,1874117,ghankerson,Geoff Hankerson,35
APMG,apm-mimas,APMG/apm-mimas,15035630,nicepersonality,Lilith Bentley,1
APMG,apm-mimas,APMG/apm-mimas,19580456,pkooistra,Philip Kooistra,7
APMG,apm-react-audio-player,APMG/apm-react-audio-player,31079113,Phanx091,Jason,27
APMG,apm-react-audio-player,APMG/apm-react-audio-player,1874117,ghankerson,Geoff Hankerson,7
APMG,apm-react-audio-player,APMG/apm-react-audio-player,187428415,hhassan-mpr,Hassan,1
APMG,apm-react-audio-player,APMG/apm-react-audio-player,19580456,pkooistra,Philip Kooistra,7
APMG,apm-react-audio-player,APMG/apm-react-audio-player,33332959,talia-storymaker,Talia Hatfield,6
APMG,apm-titan,APMG/apm-titan,31079113,Phanx091,Jason,68
APMG,apm-titan,APMG/apm-titan,49699333,dependabot[bot],,9
