Organization,Type,Github
Guardian Mobile Innovation Lab,Newsroom,https://github.com/gdnmobilelab
Haaretz,Newsroom,https://github.com/Haaretz
Hacks/Hackers,News Industry,https://github.com/hackshackers
Hartford Courant,Newsroom,https://github.com/hartfordcourant
Harvard Business Review,Newsroom,https://github.com/HBRGTech
Harvard Lampoon,Newsroom,https://github.com/Harvard-Lampoon
Hashtag Labs,News Industry,https://github.com/htlinc
Hearken,News Industry,https://github.com/wearehearken
Hearst,Newsroom,https://github.com/HearstCorp
Hearst Emerging Technologies,Newsroom,https://github.com/Hearst-DD
Hearst Hatchery,Newsroom,https://github.com/Hearst-Hatchery
Hechinger Report,Newsroom,https://github.com/hechinger
Hindustan Times,Newsroom,https://github.com/HindustanTimesLabs
Houston Chronicle Data Desk,Newsroom,https://github.com/houston-chronicle
Howard Center for Investigative Journalism,News Industry,https://github.com/Howard-Center-Investigations
ICIJ,Newsroom,https://github.com/icij
IndiaSpend,News Industry,https://github.com/indiaspend
InfoAmazonia,Newsroom,https://github.com/InfoAmazonia
Initium Lab 端傳媒,Newsroom,https://github.com/initiumlab
Inside Climate News,Newsroom,https://github.com/InsideClimateNews
Inside Energy,Newsroom,https://github.com/InsideEnergy
Institute for Nonprofit News (INN),News Industry,https://github.com/inn
International Center for Journalists,News Industry,https://github.com/icfj-org
Internews in Kenya,News Industry,https://github.com/internews-ke
Investigative Reporting Workshop,News Industry,https://github.com/irworkshop
Invisible Institute,News Industry,https://github.com/invinst
IRE/NICAR,News Industry,https://github.com/ireapps
Irish Times,Newsroom,https://github.com/the-irish-times
Journal News (White Plains N.Y.),Newsroom,https://github.com/lohud
Journalism++,News Industry,https://github.com/jplusplus
JournalismAI,News Industry,https://github.com/JournalismAI
Kaiser Health News,Newsroom,https://github.com/khnews
KFF Data,News Industry,https://github.com/KFFData
Kiln,News Industry,https://github.com/kiln
KPBS,Newsroom,https://github.com/KPBS
Southern California Public Radio,Newsroom,https://github.com/SCPR
KQED San Francisco,Newsroom,https://github.com/kqed
La Nación (Buenos Aires),Newsroom,https://github.com/lanacioncom
La Opinión,Newsroom,https://github.com/laopinion
Lawrence Journal-World,Newsroom,https://github.com/worldcompany
Le Monde,Newsroom,https://github.com/lemonde
Le Temps,Newsroom,https://github.com/labsletemps
Lenfest Institute for Journalism,News Industry,https://github.com/Lenfest-Institute
Lenfest Local Lab,Newsroom,https://github.com/lenfestlab
Lens (NOLA),Newsroom,https://github.com/thelens
Libération,Newsroom,https://github.com/liberation
Los Angeles Times Data Desk,Newsroom,https://github.com/datadesk
Louisville Courier-Journal,Newsroom,https://github.com/courierjournal
Markup,Newsroom,https://github.com/the-markup
Marshall Project,Newsroom,https://github.com/themarshallproject
Mashable,Newsroom,https://github.com/mashable
McClatchy Company,Newsroom,https://github.com/mcclatchy
Meedan,News Industry,https://github.com/meedan
Miami Herald,Newsroom,https://github.com/miamiherald
Mic News,Newsroom,https://github.com/micnews
Michigan Radio,Newsroom,https://github.com/michiganradio
Milwaukee Journal Sentinel DataHub,Newsroom,https://github.com/datahub
Minneapolis Star Tribune,Newsroom,https://github.com/minneapolisstartribune
Minneapolis Star Tribune Lab,Newsroom,https://github.com/striblab
MinnPost,Newsroom,https://github.com/minnpost
Mirror Media 鏡傳媒,Newsroom,https://github.com/mirror-media
MIT Technology Review,Newsroom,https://github.com/technologyreview
Mother Jones,Newsroom,https://github.com/motherjones
Muck Rack,News Industry,https://github.com/muckrack
MuckRock,News Industry,https://github.com/MuckRock
Nation Media Group (Nairobi),Newsroom,https://github.com/NMG-Digital
National Geographic Partners,Newsroom,https://github.com/natgeo
National Geographic Society,Newsroom,https://github.com/natgeosociety
NBC News,Newsroom,https://github.com/nbcnews
New Scientist,Newsroom,https://github.com/newscientistapps
New York Daily News,Newsroom,https://github.com/nydailynews
New York Magazine,Newsroom,https://github.com/nymag
New York Post,Newsroom,https://github.com/newyorkpost
New York Public Radio,Newsroom,https://github.com/nypublicradio
New York Times,Newsroom,https://github.com/NYTimes
New York Times Newsroom Developers,Newsroom,https://github.com/newsdev
New York Times R&D Group,Newsroom,https://github.com/nytlabs
New York Times The Upshot,Newsroom,https://github.com/theupshot
New Yorker,Newsroom,https://github.com/newyorker
News Catalyst,News Industry,https://github.com/news-catalyst
News Journal (New Castle Del.),Newsroom,https://github.com/delawaredata
News Revenue Hub,News Industry,https://github.com/newsrevenuehub 
